"SINHGAD ROAD","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"30A","19-20","9","Road","98814.53","Road","","",""
"30A","19-20","10","Road","98714.37","Road","","",""
"30A","19-20","11","Road","98907.17","Road","","",""
"30A","19-20","12","Road","98711.78","Road","","",""
"30A","19-20","13","Road","98876.44","Road","","",""
"30A","19-20","14","Road","98568.03","Road","","",""
"30A","19-20","15","Road","98609.99","Road","","",""
"30A","19-20","16","Road","98504.37","Road","","",""
"30A","19-20","17","Road","98949.82","Road","","",""
"30A","19-20","18","Road","98681.24","Road","","",""
"30A","19-20","19","Road","98365.75","Road","","",""
"30A","19-20","20","Road","98885.64","Road","","",""
"","","","","","","","",""
"30B","19-20","1","Drainage ","197654.19","Drainage","","",""
"30B","19-20","2","Toilet","197631.88","Toilet","","",""
"30B","19-20","3","Drainage ","197445.18","Drainage","","",""
"30B","19-20","4","Drainage ","197459.59","Drainage","","",""
"30B","19-20","5","Road","197721.73","Road","","",""
"30B","19-20","6","Footpath","197049.88","Footpath","","",""
"30B","19-20","7","Drainage ","189471.95","Drainage","","",""
"30B","19-20","8","Drainage ","197888.74","Drainage","","",""
"30B","19-20","9","Concretization","197582.82","Concretization","","",""
"30B","19-20","10","Development work ","200000","Development work","","",""
"30B","19-20","11","Drainage ","197270.37","Drainage","","",""
"","","","","","","","",""
"30C","19-20","1","Bags","200000","Bags","","",""
"30C","19-20","2","Bags","200000","Bags","","",""
"30C","19-20","3","Fire brigade related works","200000","Fire Brigade","","",""
"30C","19-20","4","Fire brigade related works","100000","Fire Brigade","","",""
"30C","19-20","5","Drainage ","197425.44","Drainage","","",""
"30C","19-20","6","Drainage ","197130.49","Drainage","","",""
"30C","19-20","7","Concretization","197572.96","Concretization","","",""
"30C","19-20","8","Road","200000","Road","","",""
"30C","19-20","9","Road","193023.06","Road","","",""
"30C","19-20","10","Furniture works, curtains etc.","197748.37","Furniture","","",""
"30C","19-20","11","Electrification ","200000","Electrification","","",""
"30C","19-20","12","Road","200000","Road","","",""
