"DHANKAWADI - SAHAKAR NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"40A","19-20","7","Supplying cloth bags","200000","Bags","No Issue","",""
"40A","19-20","8","Electricity related work","197786.64","Electrification","No Issue","",""
"40A","19-20","9","Electricity related work","197542","Electrification","No Issue","",""
"40B","19-20","1","Adding thermoplastic paint at some places","197331.3","Traffic","No Issue","",""
"40B","19-20","2","Installing nameplates","194134.63","Nameplates","No Issue","",""
"40B","19-20","3","Installing nameplates","191111.42","Nameplates","No Issue","",""
"40B","19-20","4","Drainage related work","199341.9","Drainage","No Issue","",""
"40B","19-20","5","Drainage related work","198821.34","Drainage","No Issue","",""
"40B","19-20","6","Lighting and electricity related work","196667.62","Electrification","No Issue","",""
"40B","19-20","7","Paiting of light poles","98943.78","Colouring","No Issue","",""
"40C","19-20","1","Repairing work related to public toilets","197881.13","Toilet","No Issue","",""
"40C","19-20","2","Drainage related work","197829.94","Drainage","No Issue","",""
"40C","19-20","3","Picking up radar waste","198105.84","Cleaning","No Issue","",""
"40C","19-20","4","Footpath repairing and related work","197090.06","Footpath","No Issue","",""
"40C","19-20","5","Purchasing jute bags","200000","Bags","No Issue","",""
"40D","19-20","1","Fencing work for skating park","199133.76","Fencing","No Issue","",""
"40D","19-20","2","Installation of decorative poles","190948.87","Decoration","No Issue","",""
"40D","19-20","3","Purchasing cloth bags","200000","Bags","No Issue","",""
"40D","19-20","4","Purchasing cloth bags","200000","Bags","No Issue","",""
"40D","19-20","5","Chainling fencing work","95443.38","Fencing","No Issue","",""
"35A","20-21","1","Picking up radar waste","199421.6","Cleaning","No Issue","",""
"35A","20-21","2","Drainage related work","199539.2","Drainage","No Issue","",""
"35A","20-21","3","Drainage related work","199764.32","Drainage","No Issue","",""
"35A","20-21","4","Drainage related work","199584","Drainage","No Issue","",""
"35A","20-21","5","Miscellaneous work","199727.36","Development work","Resolved","No info provided on what is done. Not sure which code is correct for this","Correct"
"35A","20-21","6","Chamber cleaning related work","199450.72","Drainage","No Issue","",""
"35A","20-21","7","Drainage related work","199675.84","Drainage","No Issue","",""
"35A","20-21","8","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","",""
"35A","20-21","9","Miscellaneous work","200000","Development work","Resolved","No info provided on what is done. Not sure which code is correct for this","Correct"
"35A","20-21","10","Drainage related work","199539.2","Drainage","No Issue","",""
"35B","20-21","1","Tiles and concrete repairing work","198121.21","Pavement blocks","No Issue","",""
"35B","20-21","2","Drainage and concrete related work","198453.83","Drainage","No Issue","",""
"35B","20-21","3","Drainage line related work","196463.19","Drainage","No Issue","",""
"35B","20-21","4","Public toilets electricity work","194317.29","Electrification","No Issue","",""
"35B","20-21","5","Wiring related work in community temples","193547.91","Electrification","No Issue","",""
"35B","20-21","6","Electricity related work","193930.42","Electrification","No Issue","",""
"35B","20-21","7","Electricity related work","192950.73","Electrification","No Issue","",""
"35B","20-21","8","Chamber repairing work","194801.01","Drainage","No Issue","",""
"35B","20-21","9","Chamber repairing work","199866.24","Drainage","No Issue","",""
"35B","20-21","10","Various development work","148510.24","Development work","No Issue","",""
"35C","20-21","1","Drainage line installation","199618.98","Drainage","No Issue","",""
"35C","20-21","2","Community temple and school repairing","199431.89","Buildings","No Issue","",""
"35C","20-21","3","Building library","199615.04","Library","No Issue","",""
"35C","20-21","4","Community temple repairing","178029.75","Buildings","No Issue","",""
"35C","20-21","5","Concretization related work","198901.52","Concretization","No Issue","",""
"35C","20-21","6","Building library","196004","Library","No Issue","",""
"35C","20-21","7","Building library","192042.12","Library","No Issue","",""
"35C","20-21","8","Cleaning and repairing related work","199574.76","Cleaning","No Issue","",""
"35C","20-21","9","Drainage and chamber repairing","199349.88","Drainage","No Issue","",""
"35C","20-21","10","Drainage related work","199384.72","Drainage","No Issue","",""
"35D","20-21","1","Government related work","199209.25","Development work","Resolved","Not sure if this is the correct code","Correct"
"35D","20-21","2","Footpath related work","198093.09","Footpath","No Issue","",""
"35D","20-21","3","Various development work","198470.01","Development work","No Issue","",""
"35D","20-21","4","Footpath repairing and related work","198461.39","Footpath","No Issue","",""
"35D","20-21","5","Drainage related work","199511.21","Drainage","No Issue","",""
"35D","20-21","6","Barricades making","196865.22","Traffic","No Issue","",""
"35D","20-21","7","Toilets repairing","198454.7","Toilet","No Issue","",""
"35D","20-21","8","Drainage related work","198033.58","Drainage","No Issue","",""
"35D","20-21","9","Picking up radar waste","199231.55","Cleaning","No Issue","",""
"35D","20-21","10","Various development work","199738.45","Development work","No Issue","",""
"39A","20-21","1","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","",""
"39A","20-21","2","Wiring related work in schools and clinics","123172.14","Electrification","No Issue","",""
"39A","20-21","3","Drainage related work","199992.32","Drainage","No Issue","",""
"39A","20-21","4","Electricity related work","123893.12","Electrification","No Issue","",""
"39A","20-21","5","Development of drainage lines","199897.71","Drainage","No Issue","",""
"39A","20-21","6","Sign boards installation","199927.01","Nameplates","No Issue","",""
"39A","20-21","7","Paving block repairing","199876.77","Pavement blocks","No Issue","",""
"39A","20-21","8","Fencing related work","199966.37","Fencing","No Issue","",""
"39A","20-21","9","Drainage and concrete related work","193141.34","Drainage","No Issue","",""
"39B","20-21","1","Drainage related work","199885.87","Drainage","No Issue","",""
"39B","20-21","2","Drainage related work","199913.66","Drainage","No Issue","",""
"39B","20-21","3","Drainage related work","199801.3","Drainage","No Issue","",""
"39B","20-21","4","Drainage related work","99486.34","Drainage","No Issue","",""
"39B","20-21","5","Drainage related work","199986.39","Drainage","No Issue","",""
"39B","20-21","6","Drainage related work","199861.46","Drainage","No Issue","",""
"39B","20-21","7","Drainage related work","99972.18","Drainage","No Issue","",""
"39B","20-21","8","Various development work","199974.44","Development work","No Issue","",""
"39B","20-21","9","Fencing related work","199965.92","Fencing","No Issue","",""
"39B","20-21","10","School and toilets related wiring work","197456","Electrification","No Issue","",""
"39B","20-21","11","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","",""
"39C","20-21","1","Road reparing work","199282.65","Road","No Issue","",""
"39C","20-21","2","Road concretization work","198562.31","Concretization","No Issue","",""
"39C","20-21","3","Drainage related work","199702.38","Drainage","No Issue","",""
"39C","20-21","4","Drainage line installation","199783.2","Drainage","No Issue","",""
"39C","20-21","5","Rainwater line and repairing","199601.25","Drainage","No Issue","",""
"39C","20-21","6","Cleaning of drainage lines","199630.14","Drainage","No Issue","",""
"39C","20-21","7","Footpath related work","199483.37","Footpath","No Issue","",""
"39C","20-21","8","Distribution of sanitizer and stands","199434.82","Help / Fund / Relief Work","No Issue","",""
"39C","20-21","9","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","",""
"39C","20-21","10","Installation of drainage lines","199286.59","Drainage","No Issue","",""
"39D","20-21","1","Virangula kendra for old people","199897.6","Buildings","No Issue","",""
"39D","20-21","2","Virangula kendra related work","199767.23","Buildings","No Issue","",""
"39D","20-21","3","Virangula kendra related work","199237.21","Buildings","No Issue","",""
"39D","20-21","4","Drainage repairing work","199727.36","Drainage","No Issue","",""
"39D","20-21","5","Virangula kendra for old people","199897.6","Buildings","No Issue","",""
"39D","20-21","6","Fencing related work","199899.39","Fencing","No Issue","",""
"39D","20-21","7","Virangula kendra related work","199473.9","Buildings","No Issue","",""
"39D","20-21","8","Vehicles related work","199891.97","Traffic","No Issue","",""
"39D","20-21","9","Virangula kendra related work","199878.57","Nameplates","No Issue","",""
"40A","20-21","1","Benches related work","199765.61","Benches","No Issue","",""
"40A","20-21","2","Drainage related work","199676.33","Drainage","No Issue","",""
"40A","20-21","3","Electricity related work","197836.53","Electrification","No Issue","",""
"40A","20-21","4","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","",""
"40A","20-21","5","Distribution of sanitizer and stands","199498.32","Help / Fund / Relief Work","No Issue","",""
"40A","20-21","6","Distribution of black funnel","199980","Cleaning","No Issue","",""
"40A","20-21","7","Distribution of scented funnel","199050","Cleaning","No Issue","",""
"40A","20-21","8","Constructing tree surrounding barriers","195458.63","Benches","No Issue","",""
"40A","20-21","9","Distribution of soaps","200000","Help / Fund / Relief Work","No Issue","",""
"40B","20-21","1","Drainage cleaning machine work","195005.76","Drainage","No Issue","",""
"40B","20-21","2","Drainage cleaning machine work","197291","Drainage","No Issue","",""
"40B","20-21","3","Adding thermoplastic paint at some places","199439.52","Traffic","No Issue","",""
"40B","20-21","4","Drainage related work","199636.94","Drainage","No Issue","",""
"40B","20-21","5","Nameplates installation","197040.82","Nameplates","No Issue","",""
"40B","20-21","6","Drainage repairing related work","199650.08","Drainage","No Issue","",""
"40B","20-21","7","Picking up radar waste","199102.53","Cleaning","No Issue","",""
"40B","20-21","8","Light pole points related work","195251.68","Electrification","No Issue","",""
"40B","20-21","9","Electricity related work","195610.97","Electrification","No Issue","",""
"40B","20-21","10","Electricity related work","195571.05","Electrification","No Issue","",""
"40C","20-21","1","Nameplates related work","199891.51","Nameplates","No Issue","",""
"40C","20-21","2","Varoius development work","199941.37","Development work","No Issue","",""
"40C","20-21","3","Draining and chamber lines related work","199890.43","Drainage","No Issue","",""
"40C","20-21","4","Picking up radar waste","199819.2","Cleaning","No Issue","",""
