"NAGAR ROAD- VADGAON SHERI","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"3D","18-19","7","Zebra crossing and parking lines paiting","100000","Traffic","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","1","Distributing Dustbins/buckets","199920","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","2","Jute bags/ cloth/ canvas bags etc.","178550","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","3","Road Construction / Colouring Roads / Railing Work / Speed Breaker","177235.27","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","4","Distributing Dustbins/buckets","199920","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","5","Jute bags/ cloth/ canvas bags etc.","178550","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","6","Road Construction / Colouring Roads / Railing Work / Speed Breaker","177521.48","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","7","Benches","178336.05","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","8","Distributing Dustbins/buckets","199920","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","1","Distributing Dustbins/buckets","199528","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","2","Benches","177813.22","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","3","Benches","176354.54","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","4","Distributing Dustbins/buckets","199808","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","5","Drainage works","149763.91","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","6","Jute bags/ cloth/ canvas bags etc.","178550","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","7","Colouring works","158776.57","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","174875.45","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","1","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","2","Benches","197850.5","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","3","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","4","Jute bags/ cloth/ canvas bags etc.","178550","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","5","Drainage works","197726.33","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","6","Road Construction / Colouring Roads / Railing Work / Speed Breaker","167425.12","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","7","Colouring works","158877.55","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","1","Distributing Dustbins/buckets","199808","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","2","Benches","178336.05","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","3","Distributing Dustbins/buckets","199136","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","4","Drainage works","179371.38","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","5","Jute bags/ cloth/ canvas bags etc.","178550","Bags","No Issue","","","","","","","","","","","","","","","","","",""
