"GHOLE ROAD - SHIVAJI NAGAR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","273","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","18-19","12","concretization","780000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","13","colouring","716000","Colouring","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","14","water related work","775000","Water supply","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","15","decoration the coloney","780000","Decoration","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","16","message the wall,colouring","788000","Colouring","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","17","social temple","661000","Buildings","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","18","sports work","642000","Garden","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","19","build the toilet","314000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","20","repair the toilet","703000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","21","toilet","986000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","22","toilet","666000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","23","toilet","771000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","24","toilet","875000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","25","toilet","394000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","26","toilet","759000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","27","toilet","100000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","28","toilet","785000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","29","toilet","770000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","30","drainage line","829000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","31","drainage line","899000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","32","drainage line","856000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
