"38C","18-19","57","Monsoon line laying","866579.08","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","58","Monsoon line laying","667888.14","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","59","Monsoon line laying","693904.87","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","60","Monsoon line cleaning and chamber repairs","884215.88","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","61","Road Tarring","959529.55","Road","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","62","Concretization","990237.07","Concretization","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","63","Concretization","990030.42","Concretization","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","64","Concretization","994788.34","Concretization","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","65","Concretization","958032.39","Concretization","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","66","Concretization","959761.21","Concretization","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","67","Concretization","942207.77","Concretization","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","68","Concretization","932382.06","Concretization","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","69","Road development","932733.62","Road","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","70","Footpath Development","991874.28","Footpath","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","71","Monsoon line installation","985203.83","Drainage","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","72","Road development","974557.93","Road","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","73","Electrification","677030","Electrification","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","74","Electrification","762347","Electrification","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","75","Electrification","626313","Electrification","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","76","Electrification","711035","Electrification","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","77","Electrification","719952","Electrification","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","78","Electrification","636640","Electrification","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","79","Electrification","755208","Electrification","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","80","Electrification","772723","Electrification","","","","","","","","","","","","","","","","","","","",""
