"AUNDH - BANER","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"9A","18-19","42","Making coal tar roads ","815627","Road","","","","","","","","","","","","","","","","","","","",""
"9A","18-19","43","Putting pavement blocks ","624776.95","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9A","18-19","44","Putting direction boards ","751830.96","Nameplates","","","","","","","","","","","","","","","","","","","",""
"9B","18-19","45","Road grouting ","898257.16","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9B","18-19","46","Making coal tar roads ","869104.37","Road","","","","","","","","","","","","","","","","","","","",""
"9B","18-19","47","Repairing footpath","850064.87","Footpath","","","","","","","","","","","","","","","","","","","",""
"9B","18-19","48","Repairing footpath","849697.22","Footpath","","","","","","","","","","","","","","","","","","","",""
"9B","18-19","49","Repairing footpath","857025.25","Footpath","","","","","","","","","","","","","","","","","","","",""
"9B","18-19","50","Repairing footpath","832889.28","Footpath","","","","","","","","","","","","","","","","","","","",""
"9B","18-19","51","Concretization of roads ","798080.87","Concretization","","","","","","","","","","","","","","","","","","","",""
"9B","18-19","52","Concretization of roads ","871571.45","Concretization","","","","","","","","","","","","","","","","","","","",""
"9C","18-19","53","Making coal tar roads ","945347","Road","","","","","","","","","","","","","","","","","","","",""
"9C","18-19","54","Putting pavement blocks ","814048.11","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9C","18-19","55","Concretization of roads ","981982.71","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","1","Making footpaths","654581.48","Footpath","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","2","Putting cement blocks","236495","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","3","Concretization of roads ","838720.35","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","4","Concretization of roads & putting drainage line","562462.66","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","5","Concretization of roads & putting drainage line","583539.92","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","6","Concretization of roads & putting drainage line","242915.81","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","7","Concretization of roads & putting drainage line","745340.6","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","8","Concretization of roads & putting drainage line","641219.89","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","9","Concretization of roads ","911478.57","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","10","Concretization of roads & repairing water tank","716351.49","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","11","Concretization of roads ","725212.46","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","12","Concretization of roads ","492307.63","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","13","Concretization of roads ","783209.44","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","14","Concretization of roads ","980805.51","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","15","Building gate arch for government school","740896.52","Fencing","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","16","Completing gate arch at school ","962100.06","Fencing","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","17","Work related to school","763718.4","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","18","Repair work at hospital","787512.4","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","19","Work related to cemetery ","732757","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","20","Building a room in school for the urban section","814956","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","21","Completing work & installing furniture in Samaj Mandir ","868667.13","Furniture","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","22","Reparations in the gym","941466.22","Gym","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","23","Constructing Samaj Mandir ","989547.89","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","24","Repair work in Samaj Mandir","491755.82","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","25","Repairing toilets ","372081.82","Toilet","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","26","Building & repairing toilets ","889191.46","Toilet","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","27","Concretization of roads & putting drainage line","988747.3","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","28","Concretization of roads & putting drainage line","630218.38","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","29","Concretization of roads & putting drainage line","988114.2","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","30","Concretization of roads & putting drainage line","984421.91","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","31","Concretization of roads & putting drainage line","555647.58","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","32","Concretization of roads & putting drainage line","981772.14","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","33","Concretization of roads & putting drainage line","984561.66","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","34","Concretization of roads & putting drainage line","984268.52","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","35","Repair work related to electricity","689301.06","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","36","Work related to electrification and beautification ","659963.7","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","37","Electrification ","637546.39","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","38","Electrification ","656894.06","Electrification","","","","","","","","","","","","","","","","","","","",""
